Very Good music :3
haI'm from the year 2020. The song is still Very nice
plees good pess entar xxxiii
Love it
Amo está canción es la mejor que puede existir
selena Charlie💔
😻😻😻😻😻😻
2020 ?
I love this song!!!!!!!!!
คนไทยอยู่มั้ง?
Who does it hear 2928?
Best_❤️❤️❤️
https://youtu.be/EQJhdBLg9X8
❤❤❤❤❤❤💋💋💋💋💋💋👄👄👄👄👄👄👄👄👄💕💕💖💖💗👅💙💟💟💞💞💝💜🖤💛💚❣💌💓
GOOD
Eu amei muito esse vídeo♡
i love this song sg and de for this song
2018/03/12 I heard this song. I feel same like this actor
good lok
thailand ≧ω≦
The  best song of Charlie
we don't talk anymore...
17/3/2018
i hate selena but Selena's voice is perfect 😜😜and Charlie love u😍😍
i sung this infront of my gf ;)
@Breakup song
Lexi It's Nothin 2018 I mean 19 and and I even know she Selena Gomez sing to well to this song
My 2 aims in life
1)To become a successfull doctor
2)To meet Charlie puth!(I hope one day will meet my idol)
this song is my life 💋💋😘
great music
Có ai là người Việt Nam không nhỉ ??😚😚😚
perfect song :)
👌🏿👍🏿
i wrote this lyrics for my gf and i told her that i love her and she kissed
I LIKE THEM
where is charlie
whare is selena
did they brake up ??????????????
Крутая песня
💞💞💞💞💞
i feeling my girlfriend we don't anymore 2020❤
Oooooh we don't talk anymore ❤❤❤❤❤❤❤
Where from
charlie , my love
charlie , my love
2018/3/17 Anyone? 💜
2018????😂😂💜💜💜💜💙💙💙💙❤❤💚💛💚💚💛
ma-sa lu' Ion
I am addicted to this song.
https://youtu.be/h-m9QbORvqI
- Vn có ai qua tới đây hem><
2019??😍😍
Addicted to the song
Whose else crush is Selena Gomez?😆😆
Gluten tag
Hallo 
Ichbin   Alex wihaeiztu
#give 1 👍 if you are reading comments
Selena Gomez❤️
🔥LOVE THIS SONG 🔥
Good song
Nice song we dont talk enymore
Yuck...... Very bad song...... Worst song ever!!!
nice nice
nice nice
Super song Charlie puth 



Please mKe many more songs like this
I'm here after me and my bf don't talk any more
Listening in 6004
Carlitoooos como andamos rey de la bachata ?  Cuando un asado?
My fav song ever ❤️❤️❤️
3/2018
Best direction💙
Totally love this song
ХОРОШИЕ ТРЕКИ
Nice songs !!!
3/2018
I came here just because of jungkook's cover ....😍😍😍😊😅😅
your the best
Charlie puth U have soulful my dp is for u
Guyz its 1.7 billion this song deserves this 😍😍
2018/3😊😍😍😘
These songs of Charlie make me fall in love with Music not Girls😂I have had 2 girlfriends and girls crushing but Im here playing stuff
we don't fuck anymore, we just fuck animal
we doyit tahk grahcfjf sorry
😭😭😭😭😭
팝송 사랑해요 ♥
2019？
Hoped I'd never have to relate to this so fucking much
còn ai nghe điểm danh? 2018?
Friday Night?
:v
What sad 😭😢
4018？
¿2018? 💔
🎧🎧
Don't know why I love the music so very much...
💕
@@ where in zi
We don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't love anymore
What was all of it for?
Oh, we don't talk anymore, like we used to do

I just heard you found the one you've been looking
You've been looking for
I wish I would have known that wasn't me
'Cause even after all this time I still wonder
Why I can't move on
Just the way you did so easily

Don't wanna know
What kind of dress you're wearing tonight
If he's holding onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't love anymore
What was all of it for?
Oh, we don't talk anymore, like we used to do

I just hope you're lying next to somebody
Who knows how to love you like me
There must be a good reason that you're gone
Every now and then I think you
Might want me to come show up at your door
But I'm just too afraid that I'll be wrong

Don't wanna know
If you're looking into her eyes
If she's holding onto you so tight the way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore (We don't, we don't)
We don't talk anymore (We don't, we don't)
We don't talk anymore, like we used to do
We don't love anymore (We don't, we don't)
What was all of it for? (We don't, we don't)
Oh, we don't talk anymore, like we used to do

Like we used to do

Don't wanna know
What kind of dress you're wearing tonight
If he's giving it to you just right
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore (We don't, we don't)
We don't talk anymore (We don't, we don't)
We don't talk anymore, like we used to do
We don't love anymore (We don't, we don't)
What was all of it for? (We don't, we don't)
Oh, we don't talk anymore, like we used to do

We don't talk anymore, oh, oh
(What kind of dress you're wearing tonight)
(If he's holding onto you so tight)
The way I did before
We don't talk anymore, oh, woah
(Should've known your love was a game)
(Now I can't get you out of my brain)
Ooh, it's such a shame
That we don't talk anymore
I love this song
3-16-2o18
It's the best song ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
I Love❤❤
alguien habla español??
Yo
One of all time favorite songs.
2018!!!
เพลงไรว่ะนั้นน่ะ (Thai)
Just love this song
2 Bilhões 2018 ❤
😍😒😷
❤❤
And they don't talk anymore for real
Que Deus perdoe as pessoas q deram deslike nesse vídeo, AMÉM!
And. Love you
We dont  talk anymore
weekend 16/03/2018 wow!!
which one of you hoes tryna smash to this song
💜     💜    💜     💜   *HEY LADIESSSSSSSS 💜    💜     💜    💜 ~~~~~~~~~~~~~———>>>>>*  If you’re suffering cuz of a relationship, broken heart, loneliness, or you just have a hard time with guys… check out this underground b00k onAmazon called The Power of the Puzzy… best b00k ever for women! (BANNED IN SOME COUNTRIES... if you cant find it go to the US store)  ~~~~~18 and over~~~~~
17/03/2018..vietnames
❤❤❤
la mejor cancion que escuche en mi vida
Who does it hear 2090 ???
Great SONG
😍😍
2018 and still rockin👏

1,8 BILLION views wtf
top
Me love
Autotune must be a good thing.....
When this song describes perfectly your situation .....
2018/3/17 🤟🏻🤟🏻
I’m Japanese！
じゃぱにーーーーーず！
Gotta force that interracial shit don't you.
Nice :3
me encanta mas  qe  selina gomes  le doi un 1o
jongkook😍😍😢😢
❤❤💋
16/3/01888888 ❤️👌
This is the 17th time Charlie Puth is in my recommendations
Los invito a ver mi canal marsmello 2
hiiii
2018/3
最喜欢的歌了，而且还特别喜欢MV
2018 ???????????
אני חולה עליו
we dont talk anymore
Amo esa canción ❤🎶
Oooooooo nicceree
love you selen Gomez
Charlie part  or selena part❤️❤️💕?
te amo 😍😆🤔
TÜRKİYE  🇹🇷🇹🇷🇹🇷❤❤❤🇹🇷🇹🇷🇹🇷TÜRKİYE
Is this song true.
to be onist your the best senger charlie puth
who is the girl in the video she is not selena is she
😢😢😍😍😍😍😍adoroooooooooooooo
very good
This straight up have 1 billion views
No need to stick to the script!
i like song
2019 ?
2018
Selena voice is osm.
2018?
She so so so cutie ♥♥♥♥♥♥♥.
*_Anyone 2018 ?                                               ♥♥♥._*
Love
Hadi l love you  becuse what you  go
16/3/2018 i love
Quem é br
My bruudahs i think da I have just Heard da best song ever.
I’m like Charlie
Bellissimi
Nice music thank you of these music i likee ❤❤
the song made my day....
Aaaaaa  We Don't Talk Anymoreee ❤❤❤😍😍👌👌👍👍👏👏👏💣💥💣💥l Love you Charliee ❤❤❤💗💗💗
I love this song it gives me some feedings
One and only my song..😍😍😍😍😍😍  I m addicted to this song...😙
Dud your beast 🙉🤩
one of my faverite song ever
, Oh my god I love this song
16/03/2018😍😍😍😍😍
3018
Whenever i hear this song i get her memories. I cry a lot.😞😢
Nice moving song.
2018.3.16😎
2018/ 16
Eu amei 😘😘😍😍
Good
2020.   TT
It’s just like my most recent breakup I don’t know why I can’t get over her
好听
2018
Good
Must be a good reason that you are gone..
Awesome everrrrrr
Charlena pumez
We don't talk anymore 😍
I love this song
Most famuse son iv seen
2018😁😁😁?
This song suitable for me🙂🙂
2
0
1
8??????
2
2
  0 
   1
     8
Love this song so much ❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎁🎁🎁🎁🎁🎁🎁🎁🎁🎂🎂🎂🎂🎂🎂🎂🎂🎂🍦🍦🍦🍦🍦🍦🍦🍦🍦🏵🏵🏵🏵🏵🏵🏵🏵🏵
Long distance relationship is quite difficult but youll get used to it
This song has a big similarity with a vietnamese song.
16/3/2018??😁
I like this song very much😍😍
2019
1.6countr hello
C
Im VietNam and i love this song,ai cũng Việt Nam điểm danh nào
Oof, i crii
2018 baby haha 😂😂🤡
Really we don't talk anymore , i miss her 😢💔
who look this video in friday lmao
#miss_rebecca
Love 사랑해 2018♡♡♡😍😘
Omg
16/3/2018 like the first time
"We Don't Talk Anymore"
(feat. Selena Gomez)

Lyrics

[Charlie Puth:]
We don't talk anymore
We don't talk anymore
We don't talk anymore
Like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do.

I just heard you found the one you've been looking—
You've been looking for
I wish I would have known that wasn't me
'Cause even after all this time I still wonder
Why I can't move on
Just the way you did so easily

Don't wanna know
Kind of dress you're wearing tonight
If he's holdin' onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore
We don't talk anymore
We don't talk anymore
Like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do

[Selena Gomez:]
I just hope you're lying next to somebody
Who knows how to love you like me
There must be a good reason that you're gone
Every now and then I think you might want me to
Come show up at your door
But I'm just too afraid that I'll be wrong

Don't wanna know
If you're looking into her eyes
If she's holdin' onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

[Charlie Puth & Selena Gomez:]
That we don't talk anymore
(we don't, we don't)
We don't talk anymore
(we don't, we don't)
We don't talk anymore
Like we used to do
We don't laugh anymore
(we don't, we don't)
What was all of it for?
(we don't, we don't)
Oh, we don't talk anymore
Like we used to do

Like we used to do

Don't wanna know
Kind of dress you're wearing tonight
If he's giving it to you just right
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore
(we don't, we don't)
We don't talk anymore
(we don't, we don't)
We don't talk anymore
Like we used to do
We don't laugh anymore
(we don't, we don't)
What was all of it for?
(we don't, we don't)
Oh, we don't talk anymore
Like we used to do

We don't talk anymore

Don't wanna know
Kind of dress you're wearing tonight, oh
If he's holding onto you so tight, oh
The way I did before

We don't talk anymore

I overdosed
Should've known your love was a game, oh
Now I can't get you out of my brain, whoa
Oh, it's such a shame

That we don't talk anymore
Algeria will be win ✌
Anh lập đã ghé thăm bản đạo mtp ok.^^
2018?
один русский
2018/March
16-3-18
16/03/2019.....anyone else
ใครคนไทย This song is Good !
Está canción siempre me va a recordar a alguien muy especial 🖤😢
Still not over!!!! 2018🍒 Selena's voice is sooo soothing and amazing🌟
2
 0
   1
    8 💞💞💞
I love your songs very much ♥♥
We dont fuck anymore,We dont fuck anymore, like we used to do
Vă ador veniți și în România
I love sing 😽
still my fav ~♥~~♥~~♥~☁😘😘☁😘😘☁
😘😘😘😘😘😘😘
😘😘😘😘😘😘😘
☁😘😘😘😘😘☁
☁☁😘😘😘☁☁
☁☁☁😘☁☁☁
*SHARLIE PUSS*
Love to Charlie I am from India and listen your all song my favourite song is see u again love u keep singing these beautiful songs 🤗🤗
lol, all those 2018 comments, as if the song was from 20 years ago instead of 2

nvm, the song is great and always will be
*Fans* : Charlie, why isn't there *Selena* there?
*Charlie* : We don't talk anymore
2018-19-20-21-22-23
very song
Like you😍😍😍
We don't talk anymore
Woaahhh 1.7 billion views?
My fav song😍😘
#Charlie puth
ควย
Still watching......
2018❤
If he doesn't talk anymore, then why is he talking?
Amor 💓💓💓💓💓💓
2018
I love it
good
why i can move on ???
2
    0
         1
             9
                  ?
16/3/2999
Love!!♡
She was beautiful
I'm missing you so much today. Hope you too
2019?
We don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't love anymore
What was all of it for?
Oh, we don't talk anymore, like we used to do

I just heard you found the one you've been looking
You've been looking for
I wish I would have known that wasn't me
'Cause even after all this time I still wonder
Why I can't move on
Just the way you did so easily

Don't wanna know
What kind of dress you're wearing tonight
If he's holding onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't love anymore
What was all of it for?
Oh, we don't talk anymore, like we used to do

I just hope you're lying next to somebody
Who knows how to love you like me
There must be a good reason that you're gone
Every now and then I think you
Might want me to come show up at your door
But I'm just too afraid that I'll be wrong

Don't wanna know
If you're looking into her eyes
If she's holding onto you so tight the way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore (We don't, we don't)
We don't talk anymore (We don't, we don't)
We don't talk anymore, like we used to do
We don't love anymore (We don't, we don't)
What was all of it for? (We don't, we don't)
Oh, we don't talk anymore, like we used to do

Like we used to do

Don't wanna know
What kind of dress you're wearing tonight
If he's giving it to you just right
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

That we don't talk anymore (We don't, we don't)
We don't talk anymore (We don't, we don't)
We don't talk anymore, like we used to do
We don't love anymore (We don't, we don't)
What was all of it for? (We don't, we don't)
Oh, we don't talk anymore, like we used to do

